CountryName,Country Code,Wealth2020,Milprcnt2020,IntUse2020,GovEff2020,Enroll2020
Aruba,ABW,2558906304,,,1.075224519,
Africa Eastern and Southern,AFE,9.29E+11,1.102671914,24.98840087,,9.230360031
Afghanistan,AFG,19955929061,1.358856927,18.4,-1.60950923,10.8584404
Africa Western and Central,AFW,7.87E+11,0.949805687,41.74981907,,10.05908966
Angola,AGO,48501561230,1.700178161,32.55014678,-1.258393884,
Albania,ALB,15162734205,1.298479116,72.23767711,-0.15488033,61.39257813
Andorra,AND,2891002460,,93.20564892,1.749414086,15.09827042
Arab World,ARB,2.54E+12,5.771136618,66.44035486,,33.39014053
United Arab Emirates,ARE,3.49E+11,,100,1.285744786,52.70621872
Argentina,ARG,3.86E+11,0.734492612,85.51438646,-0.253818214,99.26622772
Armenia,ARM,12641698583,4.982543724,76.50770055,-0.304616541,53.30612946
American Samoa,ASM,721000000,,,0.632899344,
Antigua and Barbuda,ATG,1410796296,,95.68550784,-0.204486713,
Australia,AUS,1.33E+12,2.010640099,96.39446689,1.57377553,110.1392212
Austria,AUT,4.35E+11,0.884127145,87.52942813,1.606263638,88.7071991
Azerbaijan,AZE,42693000000,5.390494994,84.59999573,-0.155563846,36.15219879
Burundi,BDI,2649680261,2.185913284,3.787954422,-1.302272558,
Belgium,BEL,5.26E+11,1.014513524,91.52641629,1.078783035,79.49960327
Benin,BEN,15686741894,0.458762015,28.22915416,-0.290780723,10.80247974
Burkina Faso,BFA,17725010531,2.201315124,13.93797176,-0.707874298,7.683710098
Bangladesh,BGD,3.74E+11,1.244689509,32.87,-0.77972573,22.5388546
Bulgaria,BGR,70368758395,1.592655416,70.16248359,-0.213883147,74.37622833
Bahrain,BHR,34621807713,4.04564951,99.67103159,0.390768141,56.63399887
"Bahamas, The",BHS,9754600000,,92.4760204,0.405644178,
Bosnia and Herzegovina,BIH,20226036564,0.838710681,73.21175294,-1.075679064,40.88134003
Belarus,BLR,61371755326,1.152879226,85.08791245,-0.82950896,76.89089203
Belize,BLZ,2047727810,1.251121406,59.50638944,-0.603375793,25.70165062
Bermuda,BMU,6887147000,,,1.470285416,
Bolivia,BOL,36629843806,1.394220699,59.94010155,-0.725854099,
Brazil,BRA,1.48E+12,1.326660269,81.34269353,-0.4653593,54.57279968
Barbados,BRB,4738800000,,82.458446,0.444022268,
Brunei Darussalam,BRN,12005799654,3.634291769,96.06912594,1.383490443,32.69832993
Bhutan,BTN,2457604043,,79.86984884,0.300448269,16.85028458
Botswana,BWA,14960291541,3.334787687,72.74801998,0.167751253,24.01279068
Central African Republic,CAF,2326720900,1.859028244,8.565672483,-1.728578925,
Canada,CAN,1.66E+12,1.400835686,92.3,1.598744869,74.15714264
Central Europe and the Baltics,CEB,1.67E+12,1.909793115,81.78024044,,64.92256927
Switzerland,CHE,7.42E+11,0.863715344,94.34995199,1.972509265,68.06764221
Channel Islands,CHI,9811538462,,,,
Chile,CHL,2.54E+11,2.090774653,86.37099516,0.705384672,89.11248779
China,CHN,1.47E+13,1.756699471,70.05275998,0.644194782,62.23677826
Cote d'Ivoire,CIV,62982768372,0.989482627,41.3736053,-0.539629281,9.7769804
Cameroon,CMR,40773241177,0.964407323,45.52922268,-0.931451499,
"Congo, Dem. Rep.",COD,48716961860,0.743310282,22.86494849,-1.744765282,6.666920185
"Congo, Rep.",COG,11468608530,2.892153842,,-1.254329801,
Colombia,COL,2.70E+11,3.533526447,69.79533474,0.008680122,55.73310852
Comoros,COM,1225039196,,21.16321517,-1.642914176,
Cabo Verde,CPV,1821565614,0.661630786,63.16119125,0.197070047,
Costa Rica,CRI,62395610760,,80.53018608,0.196720213,
Caribbean small states,CSS,65860096130,,77.96115417,,
Cuba,CUB,1.07E+11,,71.11907507,-0.203546971,45.92990875
Curacao,CUW,2534327592,,,,14.87856674
Cayman Islands,CYM,5647224989,,,1.075224519,47.55114746
Cyprus,CYP,25227201184,1.936981023,90.80194644,0.839920282,92.9377594
Czechia,CZE,2.46E+11,1.322449949,81.33889705,0.9111709,67.18437195
Germany,DEU,3.89E+12,1.373585715,89.81294133,1.31406188,72.38941956
Djibouti,DJI,3185150981,,61.26152265,-0.760830402,
Dominica,DMA,504214814.8,,77.0650479,-0.126706585,
Denmark,DNK,3.55E+11,1.375348945,96.54914573,1.840414047,82.66432953
Dominican Republic,DOM,78844656298,0.750479965,82.19830578,-0.281463861,58.77322006
Algeria,DZA,1.46E+11,6.692468397,63.94999611,-0.573433459,53.61402893
East Asia & Pacific (excluding high income),EAP,1.75E+13,1.673387106,66.17129598,,51.02970123
Early-demographic dividend,EAR,1.09E+13,2.506732075,48.17694022,,32.02154922
East Asia & Pacific,EAS,2.72E+13,1.653759631,68.9010658,,53.3020401
Europe & Central Asia (excluding high income),ECA,2.99E+12,3.272648588,79.89465598,,77.56835175
Europe & Central Asia,ECS,2.22E+13,1.829560582,83.71541268,,75.69467926
Ecuador,ECU,99291124000,2.373122496,70.7,-0.47004047,57.93766022
"Egypt, Arab Rep.",EGY,3.84E+11,1.122475503,71.91420096,-0.445820093,40.01293945
Euro area,EMU,1.31E+13,1.523616178,85.29481016,,76.82408142
Eritrea,ERI,,,14.17998705,-1.643156528,
Spain,ESP,1.28E+12,1.367893602,93.20564892,0.854268253,90.95484924
Estonia,EST,31370395573,2.293829971,89.05828666,1.299159646,72.0443573
Ethiopia,ETH,1.08E+11,0.521685786,16.42294727,-0.589063823,
