CountryName,CountryCodeISO3,ITURegionCode,Developed_Countries,UNSD_Region,WBRegion,GCIv4_Tot,Legal,Tech,Org,CapDev,Coop,Legal1,Legal2,Tech1,Tech2,Tech3,Tech4,Org1,Org2,Org3,CapDev1,CapDev2,CapDev3,CapDev4,CapDev5,CapDev6,Coop1,Coop2,Coop3,Coop4,Coop5
Afghanistan,AFG,ASP,Developing,Asia,South Asia,5.203513,0.395304,1.462277,3.345932,0,0,0.860778,0,0.240741,0,0,0,0.174102,0.273306,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,EUR,Developed,Europe,Europe & Central Asia,64.321066,18.128575,13.11504,13.181178,12.119803,7.77647,0.875435,0.932751,0.671379,0,1,1,0.73554,1,0,0.580519,0.799944,0.708929,0,1,0.492857,0.855538,1,0,0,0
Algeria,DZA,ARB,Developing,Africa,Middle East & North Africa,33.949629,12.459765,2.727459,1.441453,10.074038,7.246914,0.624696,0.621538,0.449033,0,0,0,0,0.233532,0,0.767641,0.6875,0.408929,0.683929,0,0.492857,0,1,0.733333,0,0
Andorra,AND,EUR,Developed,Europe,Europe & Central Asia,26.378532,8.368027,4.111111,0,4.412431,9.486964,0.500147,0.348979,0,0,0,1,0,0,0,0.767641,0,0.408929,0,0,0,0.855538,1,0,0.452778,0
Angola,AGO,AFR,Developing,Africa,Sub-Saharan Africa,12.994071,6.697774,0,0,0,6.296296,0.319749,0.347746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0
Antigua and Barbuda,ATG,AMS,Developing,Americas,Latin America & Caribbean,15.615246,11.355987,0,0,0,4.259259,0.825463,0.348979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Argentina,ARG,AMS,Developing,Americas,Latin America & Caribbean,50.119036,12.149253,13.745555,8.289025,4.380957,11.554248,0.804899,0.43979,0.497479,0.833886,0.514815,1,0.505769,0.562128,0,0.540909,0.321429,0.408929,0,0,0,0.855538,1,0,0,1
Armenia,ARM,CIS,Developing,Asia,Europe & Central Asia,50.474146,12.87238,13.856551,4.865939,7.854585,11.024691,0.785218,0.523366,0.316481,0.592605,1,1,0.333621,0.273306,0,0.174946,0.770647,0.408929,0.683929,0,0.492857,0,1,0.733333,1,0
Australia,AUS,ASP,Developed,Oceania,East Asia & Pacific,97.467401,20,19.07989,18.981411,20,19.4061,1,1,0.848519,1,1,1,0.893103,1,1,1,1,1,1,1,1,0.855538,1,1,1,1
Austria,AUT,EUR,Developed,Europe,Europe & Central Asia,93.893127,19.427946,20,17.641193,19.128383,17.695606,0.937717,1,1,1,1,1,0.752453,1,1,1,0.851563,0.85,1,1,1,0.855538,1,1,0.547222,1
Azerbaijan,AZE,CIS,Developing,Asia,Europe & Central Asia,89.309784,20,19.185061,13.136846,16.987877,20,1,1,1,0.833308,1,1,0.279741,1,1,0.767641,0.919085,0.704464,0.683929,1,1,1,1,1,1,1
Bahamas,BHS,AMS,Developing,Americas,Latin America & Caribbean,13.366881,12.850195,0,0,0.516686,0,0.805044,0.504477,0,0,0,0,0,0,0,0,0.183036,0,0,0,0,0,0,0,0,0
Bahrain,BHR,ARB,Developing,Asia,Middle East & North Africa,77.859513,20,12.121213,15.110275,16.769382,13.858642,1,1,0.507761,0,1,1,0.642023,1,0.656034,0.654275,0.678571,0.704464,1,1,1,1,1,0,0.452778,1
Bangladesh,BGD,ASP,Developing,Asia,South Asia,81.270366,14.859458,16.770029,16.392104,17.026551,16.222222,1,0.524693,0.870676,0.5,1,1,0.753732,0.79566,1,0.767641,0.928013,0.708929,0.683929,1,1,1,1,1,0,1
Barbados,BRB,AMS,Developing,Americas,Latin America & Caribbean,16.89402,12.634761,0,0,0,4.259259,0.722935,0.554289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
