country,laws,web_alexa,news_alexa,removal_google,freedom_net,infocomm_imp,patent_application,patent_app_capita,broadband_speed,mobile_speed,ecommerce,ecommerce_capita,state_attack,attack_objective,attack_surveillance,attack_control,attack_intelligence,attack_commercial,attack_offense,tech_firm,tech_export,human_capital,cybermil_people,cyber_firm,computer_infection,mobile_infection,socials_use,internet_use,surveillance_firm,shodan,military_strategy,cyber_command,CERTS,multi_agreement,bilat_agreement,softpower,ITU,intent_surveillance,intent_defense,intent_control,intent_intelligence,intent_commercial,intent_offense,intent_norms,GDP_expentiture,GDP_output,pop,GDPexp_capita,score_overall,score_surveillance,score_defense,score_control,score_intelligence,score_commercial,score_offense,score_norms,score_capabilities,score_intent,capint_overall,capint_surveillance,capint_defense,capint_control,capint_intelligence,capint_commercial,capint_offense,capint_norms,score_capint
Australia,2,0,0,101,72,0.827,2757,112.758147,2.2,7.66,26062,1065.90599,1,1,0,0,1,0,0,1,17,68.9,125,0,0.11,0.05,0.72,0.87,6,10.099,3,0,4,6,28,48.8,0.89,0.49,0.82,0.42,0.75,0.43,0.33,0.72,1177097.5,1158776.25,24.4505615,48141.9414,36.32,47.87,59.536,27.496,19.891,24.157,21.321,33.498,33.396,0.566,20.557,23.456,48.82,11.548,14.918,10.388,7.036,24.119,20.041
Brazil,2,0,0,993,64,1.289,4980,23.7949296,2.703,2.899,19968,95.4090673,0,0,0,0,0,0,0,0,13,59.73,7,0,0.22,0.08,0.66,0.67,3,11.567,2,4,4,1,12,39.4,0.577,0.08,0.78,0.18,0.08,0.2,0,0.49,2952830.75,2890897.5,209.288284,14108.9157,27.426,39.018,48.077,21.179,11.926,9.532,34.625,20.214,26.367,0.259,7.103,3.121,37.5,3.812,0.954,1.906,0,9.905,8.171
Canada,2,1,0,224,87,1.254,4349,118.746625,6.133,8.76,28418,775.935061,0,1,0,0,1,0,0,2,16,69.3,20,5,0.1,0.04,0.67,0.91,14,17.618,3,3,4,5,8,54.5,0.892,0.48,0.95,0.36,0.75,0.3,0.25,0.74,1629507.5,1571421.13,36.6241989,44492.6455,40.191,51.397,64.754,27.796,21.087,22.674,35.796,30.728,36.319,0.547,21.984,24.671,61.516,10.007,15.815,6.802,8.949,22.739,21.5
China,4,0,21,340,10,7.077,1393815,988.859694,5.676,8.782,1066233,756.452498,19,5,19,4,99,33,1,3,31,60,10000,0,0.1,0.05,0.71,0.54,15,24.995,3,4,4,4,18,58.7,0.828,0.9,0.97,0.91,0.73,0.86,0.5,0.75,18396068,18383838,1409.51746,13051.3233,55.869,53.394,70.366,44.726,48.306,37.111,61.166,47.367,51.777,0.803,44.863,48.055,68.255,40.701,35.263,31.915,30.583,35.525,41.471
Egypt,2,0,0,0,26,1,997,10.2200694,1.567,1.929,3111,31.8903067,1,0,0,0,0,0,0,0,1,55.99,15,0,0.2,0.19,0.41,0.47,7,26.199,0,0,4,1,3,34.8,0.842,0.17,0.46,0.04,0,0.04,0,0.43,995959.688,1092824.13,97.553154,10209.4053,15.069,20.393,44.771,8.333,6.301,4.295,0.02,12.458,13.796,0.163,2.456,3.467,20.595,0.333,0,0.172,0,5.357,4.275
Estonia,1,0,0,11,94,0.148,24,18.3257595,3.209,5.208,349,266.487086,0,0,0,0,0,0,0,0,17,73.13,5000,0,0.13,0.02,0.69,0.89,1,10.423,3,2,4,20,24,31.7,0.905,0.5,0.83,0.14,0.08,0.13,0.33,0.69,40616.2422,33971.1016,1.30963194,31013.4785,37.175,46.873,56.012,27.159,26.749,18.197,37.843,32.554,35.055,0.386,14.35,23.436,46.49,3.802,2.14,2.366,12.488,22.462,16.169
France,4,1,0,1157,76,5.654,14303,212.75884,6.917,5.153,51301,763.108526,0,0,0,0,0,0,0,3,26,69.6,2600,0,0.15,0.04,0.58,0.8,46,23.964,4,3,4,8,30,58.5,0.918,0.25,0.98,0.42,0.4,0.26,0.32,0.82,2754603.25,2652826.25,67.2263489,40975.0536,42.883,56.388,64.577,23.123,31.626,25.199,48.094,51.645,42.95,0.493,21.141,14.097,63.285,9.712,12.65,6.552,15.39,42.349,23.434
Germany,3,1,0,527,80,10.29,46617,567.709172,4.802,4.467,83378,1015.39042,0,0,0,0,0,0,0,2,16,70,14000,1,0.09,0.04,0.46,0.84,43,17.668,4,3,4,12,10,61.9,0.849,0.48,0.8,0.49,0.25,0.26,0.32,0.83,4035178.5,3905024,82.1142273,49141.0397,44.725,50.43,62.348,20.497,40.624,26.496,59.498,44.281,43.453,0.49,21.915,24.206,49.878,10.044,10.156,6.889,19.039,36.753,22.424
India,1,8,2,2201,55,1.978,16289,12.1634118,1.824,1.215,43889,32.7730359,0,1,0,0,1,0,0,5,9,58.7,1887,0,0.12,0.29,0.23,0.34,10,11.81,0,2,4,5,78,41.6,0.719,0.37,0.57,0.02,0.5,0.37,0,0.6,8412113,8599774,1339.18018,6281.53937,23.743,13.645,48.474,7.057,15.018,11.728,15.601,35.35,20.982,0.347,8.239,5.049,27.63,0.141,7.509,4.339,0,21.21,9.411
Iran,1,1,0,0,15,0.129,11908,146.717483,0.512,2.72,3719,45.8214913,14,4,0,2,25,6,9,0,1,47.5,25,0,0.07,0.53,0.5,0.64,11,25.459,0,4,3,3,9,31.5,0.641,0.08,0.5,0.66,0.67,0.74,0.58,0.35,1297464.25,1295735,81.1627884,15985.9497,20.548,21.687,31.134,20.561,5.816,3.677,31.283,9.885,17.72,0.511,10.5,1.735,15.567,13.57,3.897,2.721,18.144,3.46,8.442
Israel,2,0,0,332,76,0.612,1506,180.975456,4.157,2.295,4335,520.935328,0,2,0,0,2,0,4,0,23,72.9,5000,18,0.24,0.24,0.68,0.82,27,28.102,3,0,4,8,13,42.6,0.783,0.17,0.63,0.7,0.9,0.36,0.81,0.6,322245.281,301121.938,8.3215704,38724.0948,32.374,48.863,46.898,25.25,32.175,24.457,35.151,30.819,34.802,0.596,19.295,8.307,29.546,17.675,28.957,8.805,28.472,18.491,20.036
Italy,0,0,0,351,75,2.84,8921,150.286638,2.798,3.628,19424,327.224263,0,0,0,0,0,0,0,0,8,67.23,30,0,0.18,0.28,0.59,0.74,19,22.037,3,3,2,3,11,49.3,0.837,0.25,0.62,0.21,0.23,0.31,0,0.55,2342988.25,2255658.5,59.3599014,39470.8919,24.93,34.757,32.555,20.695,16.99,14.387,32.732,15.892,24.001,0.31,7.728,8.689,20.184,4.346,3.908,4.46,0,8.741,7.19
Japan,4,0,2,79,73,4.383,253630,1989.49752,5.098,4.278,99922,783.797545,0,0,0,0,0,0,0,13,17,62.6,150,1,0.09,0.02,0.61,0.85,4,11.899,0,4,4,5,30,60.2,0.88,0.25,0.95,0.39,0.25,0.47,0.14,0.82,5107477,5147025.5,127.484451,40063.5289,40.713,52.64,63.098,25.572,20.072,29.509,26.355,50.679,38.275,0.467,19.013,13.16,59.943,9.973,5.018,13.869,3.69,41.557,21.03
Lithuania,1,0,0,6,91,0.097,81,28.0248022,5.283,5.435,777,268.83051,0,0,0,0,0,0,0,0,12,70.81,300,0,0.13,0.02,0.6,0.8,3,11.854,2,0,4,7,13,27.5,0.908,0.21,0.61,0.07,0.04,0.16,0,0.35,89414.0703,75125.0156,2.89029694,30935.9461,30.008,41.733,58.898,22.316,18.736,15.986,14.632,15.938,26.891,0.206,6.182,8.764,35.928,1.562,0.749,2.558,0,5.578,7.877
Malaysia,2,0,0,18,57,0.908,1116,35.2893591,4.048,2.298,4234,133.88454,0,0,0,0,0,0,0,0,53,68.29,300,0,0.22,0.15,0.78,0.81,5,22.38,0,1,4,5,21,37.4,0.893,0.3,0.78,0.05,0,0.33,0,0.56,822249.75,720269.25,31.6242638,26000.5974,28.322,44.965,47.085,27.433,30.584,23.485,25.401,37.5,33.779,0.289,8.185,13.49,36.726,1.372,0,7.75,0,21,11.477
Netherlands,1,0,0,43,99,4.999,2111,123.914513,5.712,8.633,16559,972.003992,0,1,0,0,1,0,0,2,23,73.07,260,0,0.08,0.04,0.64,0.95,6,10.172,3,4,4,10,7,48.9,0.885,0.49,0.98,0.29,0.9,0.45,0.4,0.75,852206.688,793901.313,17.0359383,50024.0535,42.327,48.704,63.812,27.452,24.896,26.989,43.809,30.395,38.008,0.609,25.777,23.865,62.536,7.961,22.406,12.145,17.524,22.796,24.176
New Zealand,1,0,0,12,97,0.204,1017,216.115447,5.613,6.416,3237,687.871881,0,1,0,0,1,0,0,0,10,74.14,125,0,0.11,0.05,0.75,0.91,3,13.286,2,0,2,9,3,43.5,0.789,0.48,0.8,0.47,0.75,0.32,0,0.54,183458.547,171940.219,4.70581818,38985.4729,31.555,49.833,50.098,29.31,20.113,21.583,13.629,21.505,29.439,0.48,15.146,23.92,40.078,13.776,15.085,6.907,0,11.613,15.911
ROK,1,0,1,749,64,0.72,162561,3188.58271,6.089,9.745,70902,1390.72035,0,1,0,0,1,0,0,3,36,62.9,1000,0,0.08,0.03,0.85,0.95,5,31.095,0,4,4,8,27,48.3,0.873,0.23,0.63,0.14,0.67,0.32,0.15,0.61,1923307.38,1848847.13,50.9822121,37725.0672,44.218,47.74,59.586,34.423,23.885,41.549,34.799,37.399,39.912,0.393,17.378,10.98,37.539,4.819,16.003,13.296,5.22,22.813,15.81
Russia,4,0,1,22102,31,1.491,24926,173.109531,3.273,2.414,22312,154.955462,29,3,0,7,62,0,16,0,11,47,1000,1,0.09,0.02,0.49,0.76,15,33.754,4,4,4,0,14,51,0.836,0.9,0.71,0.8,0.81,0.39,0.73,0.63,3395066.5,3251424.5,143.989761,23578.5272,42.493,40.616,52.211,52.407,16.539,4.425,65.184,32.394,37.682,0.71,30.17,36.554,37.07,41.926,13.397,1.726,47.584,20.408,28.381
Saudi Arabia,1,1,0,33,25,0.1,1078,32.7279439,3.094,6.481,6042,183.434357,0,1,2,0,0,0,0,0,1,58.52,18,0,0.21,0.1,0.68,0.93,7,22.646,0,0,4,0,2,41.9,0.881,0.62,0.58,0.04,0,0.22,0,0.34,1313926.63,1269705.13,32.9382134,39890.6465,22.294,37.419,44.398,28.458,7.858,7.282,0.024,10.227,19.381,0.257,5.73,23.2,25.751,1.138,0,1.602,0,3.477,7.881
Singapore,2,0,0,8,56,2,1575,275.887719,10,6.51,2323,406.91249,0,0,0,0,0,0,0,0,52,73.28,500,0,0.09,0.08,0.79,0.88,5,8.059,0,1,4,4,29,44.8,0.898,0.39,0.61,0.05,0.17,0.33,0,0.5,455808.781,383281.031,5.70884419,79842.5682,37.62,46.931,68.504,29.576,33.551,28.967,25.284,41.215,39.147,0.293,11.023,18.303,41.787,1.479,5.704,9.559,0,20.608,13.92
Spain,1,0,0,95,92,2.016,1525,32.8987672,6.477,3.96,20075,433.077214,0,1,0,0,1,0,1,0,7,65.6,400,0,0.19,0.05,0.6,0.86,6,22.477,3,4,4,10,19,47.6,0.896,0.4,0.8,0.27,0.9,0.37,0.73,0.64,1725901.25,1654669.38,46.3543205,37232.8023,34.869,43.913,50.746,23.996,14.596,13.895,39.093,26.611,30.407,0.587,20.468,17.565,40.597,6.479,13.136,5.141,28.538,17.031,18.355
Sweden,1,0,0,5,100,2.216,1838,185.456108,6.821,5.65,11156,1125.65198,0,0,0,0,0,0,0,1,14,68.2,30,0,0.04,0.02,0.72,0.96,9,13.043,3,3,4,8,7,51.9,0.81,0.4,0.88,0.21,0.25,0.43,0.23,0.66,474642.531,429885.375,9.9107008,47891.9242,41.062,51.69,61.594,29.842,18.607,23.941,35.04,26.736,35.35,0.437,17.944,20.676,54.203,6.267,4.652,10.295,8.059,17.646,17.4
Switzerland,1,0,0,23,96,2,1283,151.368488,7.515,6.169,8233,971.330289,0,0,0,0,0,0,0,2,13,72.7,500,0,0.07,0.03,0.51,0.9,10,10.189,0,4,4,4,2,54.5,0.788,0.48,0.8,0.14,0.23,0.46,0,0.79,533365.938,544323.063,8.4760046,62926.5748,37.522,43.818,64.188,22.598,22.072,24.516,25.284,23.451,32.275,0.414,15.534,21.033,51.35,3.164,5.077,11.277,0,18.526,15.775
Turkey,2,0,0,1880,37,0.087,7156,88.6246629,1.224,3.831,10510,130.162829,0,0,0,0,0,0,0,0,2,47.6,10,0,0.07,0.03,0.63,0.65,11,20.942,3,4,4,5,12,39.4,0.853,0.4,0.63,0.04,0.08,0.34,0,0.6,2151847,2201324.25,80.745018,26649.9043,28.241,33.692,50.879,20.504,1.972,1.872,35.398,20.022,23.477,0.299,8.444,13.477,32.054,0.82,0.158,0.636,0,12.013,8.451
Ukraine,1,0,0,52,56,0.176,2107,47.6449487,2.627,2.578,724,16.3715913,0,0,0,0,0,0,0,0,5,60.8,0,0,0.09,0.02,0.59,0.59,4,22.18,3,3,4,5,8,31.7,0.661,0.3,0.59,0.18,0.38,0.29,0,0.52,424613.688,420628.719,44.2229462,9601.65987,26.696,29.465,53.276,16.437,10.138,7.478,31.538,12.699,23.004,0.323,8.623,8.839,31.433,2.959,3.852,2.169,0,6.603,7.979
United Kingdom,1,2,0,352,77,4.184,12865,194.389415,3.396,4.237,92192,1393.01585,0,3,0,0,2,0,1,1,23,66.6,14950,6,0.08,0.03,0.67,0.95,106,15.817,4,1,4,6,38,61.8,0.931,0.5,1,0.5,1,0.48,1,0.84,2788747.5,2589545.25,66.1815872,42137.8153,45.693,58.159,53.915,29.444,49.82,29.203,54.712,38.919,44.882,0.76,34.727,29.079,53.915,14.722,49.82,14.017,54.712,32.692,35.565
United States,2,35,20,966,77,11.297,285095,878.676766,6.72,4.99,386356,1190.76813,2,3,0,1,7,0,7,45,19,73.8,7000,114,0.09,0.08,0.75,0.87,132,96.118,4,4,4,9,69,67.1,0.926,0.48,0.97,0.91,0.9,0.39,0.9,0.82,18219510,17778680,324.459473,56153.423,63.145,65.633,63.618,63.875,64.543,68.259,65.038,69.629,65.799,0.767,48.432,31.504,61.709,58.126,58.089,26.621,58.534,57.096,50.24
Vietnam,0,0,0,130,24,1.5,646,6.76150908,2.194,4.067,5781,60.5081795,1,3,1,2,1,0,0,0,41,47.6,5000,0,0.12,0.06,0.64,0.58,3,16.074,0,2,4,6,6,31.3,0.693,0.77,0.38,0.7,0.58,0.18,0,0.4,614762.625,558548.938,95.540802,6434.55584,24.588,21.197,45.772,22.333,19.186,10.292,32.074,20.297,24.45,0.43,10.573,16.322,17.393,15.633,11.128,1.853,0,8.119,10.064
