Country,Total_Estimate,D1_Estimate,D2_Estimate,D3_Estimate,D4_Estimate,D5_Estimate,NatStrat1,NatStrat2,NatStrat3,IR1,IR2,IR3,IR4,CritProt1,CritProt2,CritProt3,CrisisMgmt,CrisisDef1,CrisisDef2,CrisisDef3,CommRed,MindsetGov,MindsetPriv,MindsetUser,TrustSec1,TrustSec2,TrustSec3,PIIUser,ReportMech1,MassMedia,AwarnessProg,AwarnessExec,EduProv,EduAdmin,FrameProv,FrameUptake,LegalFrame1,LegalFrame2,LegalFrame3,LegalFrame4,LegalFrame5,LegalFrame6,LegalFrame7,LegalFrame8,CrimJust1,CrimJust2,CrimJust3,FormalCoop,InformalCoop,Standard1,Standard2,Standard3,InfrRes,SoftQual,TechControl,CryptoControl,CyberMarket1,CyberMarket2,Disclosure,,,,,
Antigua and Barbuda,1.42,1.2,1.6,1.2,1.8,1.3,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,2,2,3,2,1,2,3,3,2,2,1,1,2,1,1,1,2,1,2,2,1,1,1,,,,,
Argentina,2.24,2.2,2.1,2.3,2.6,2,2,3,2,4,3,3,2,2,2,2,2,2,3,1,2,2,3,2,2,2,2,2,2,2,2,3,3,1,2,3,3,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,
Barbados,1.42,1.1,1.5,1.5,1.7,1.4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,,,,,
Belize,1.47,1.3,1.7,1.7,1.4,1.3,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,1,1,1,3,1,2,1,2,1,1,,,,,
Bahamas,1.44,1.1,1.5,1.5,1.7,1.4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,,,2,1,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,,,,,
Bolivia,1.74,1.5,2,1.8,1.4,1.9,1,2,2,3,3,2,2,2,1,1,1,2,2,1,1,2,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,,,,,
Brazil,2.69,2.7,2.2,2.8,2.9,2.8,2,2,2,4,4,4,3,3,3,3,3,3,3,2,2,2,,,3,3,3,2,2,2,3,3,3,2,3,3,4,4,4,3,4,3,4,4,4,3,2,2,2,4,2,2,3,2,3,3,3,3,3,,,,,
Chile,2.64,2.5,3,2.7,2.9,2.2,4,3,3,3,3,2,3,2,2,2,2,3,3,2,2,3,,,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,4,5,3,3,3,2,2,3,3,3,3,2,3,2,2,2,2,3,2,,,,,
Colombia,2.83,3.5,3,2.8,2.6,2.2,5,4,4,3,4,4,4,3,4,4,4,4,3,3,2,4,,,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,3,2,2,2,3,3,2,3,2,2,2,2,,,,,
Costa Rica,2,1.8,2.2,2.2,2.8,1.1,3,2,3,2,2,2,2,1,1,1,1,1,1,1,3,2,,,2,2,2,2,3,2,2,2,3,2,2,2,2,3,3,3,3,3,4,3,3,2,2,3,3,1,1,1,1,1,1,1,2,1,1,,,,,
Dominica,1.33,1.1,1.6,1.3,1.6,1.1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,2,2,2,1,1,2,1,2,1,1,1,2,2,1,2,1,2,3,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,,,,,
Dominican Republic,2.27,1.6,2.2,2.5,3.4,1.7,3,3,3,2,3,2,2,1,2,1,1,1,1,1,1,2,,,2,2,2,2,2,3,2,3,3,2,3,2,5,3,3,2,3,4,5,5,4,3,3,3,3,3,1,1,2,2,2,2,2,1,1,,,,,
